restaurant name,restaurant type,rate (out of 5),num of ratings,avg cost (two people),online_order,table booking,cuisines type,area,local address
Veg By Nature,Quick Bites,2.9,57,300.0,0,0,North Indian,Malleshwaram,Malleshwaram
Veg Rasoi,Delivery,3.9,92,600.0,1,0,North Indian,Bellandur,HSR
Veg Rasoi,Delivery,3.9,92,600.0,1,0,Rajasthani,Bellandur,HSR
Vegan Heat,"Takeaway, Delivery",4.1,313,650.0,1,0,Healthy Food,"Byresandra,Tavarekere,Madiwala",Koramangala 1st Block
Vegan Heat,"Takeaway, Delivery",4.1,313,650.0,1,0,Salad,"Byresandra,Tavarekere,Madiwala",Koramangala 1st Block
Veganbreak24x7,"Takeaway, Delivery",2.8,5,199.0,1,0,South Indian,Banashankari,City Market
Veganbreak24x7,"Takeaway, Delivery",2.8,5,199.0,1,0,Chinese,Banashankari,City Market
Veganbreak24x7,"Takeaway, Delivery",2.8,5,199.0,1,0,Continental,Banashankari,City Market
Veganbreak24x7,"Takeaway, Delivery",2.8,5,199.0,1,0,Biryani,Banashankari,City Market
VEGeatz,Quick Bites,3.4,19,200.0,1,0,South Indian,Banashankari,Banashankari
VEGeatz,Quick Bites,3.4,19,200.0,1,0,North Indian,Banashankari,Banashankari
Vegetalia,"Takeaway, Delivery",3.7,27,400.0,1,0,Italian,Banashankari,Banashankari
Vegetalia,"Takeaway, Delivery",3.7,27,400.0,1,0,Pizza,Banashankari,Banashankari
Vegetarea,"Takeaway, Delivery",2.8,40,250.0,1,0,South Indian,Electronic City,Electronic City
Vegtaurant,Quick Bites,3.7,88,300.0,1,0,North Indian,Brookefield,Whitefield
Vegtaurant,Quick Bites,3.7,88,300.0,1,0,Chinese,Brookefield,Whitefield
Velvet Kitchen,Casual Dining,3.5,15,600.0,1,0,North Indian,Bannerghatta Road,Bannerghatta Road
Velvet Kitchen,Casual Dining,3.5,15,600.0,1,0,Chinese,Bannerghatta Road,Bannerghatta Road
Venad Kitchen,"Takeaway, Delivery",3.8,93,300.0,1,0,Kerala,Marathahalli,Kaggadasapura
Venadu Restaurant,Casual Dining,3.4,7,700.0,0,0,Kerala,Electronic City,Electronic City
Venessa,Casual Dining,2.8,40,1200.0,0,0,North Indian,"Byresandra,Tavarekere,Madiwala",BTM
Venessa,Casual Dining,2.8,40,1200.0,0,0,South Indian,"Byresandra,Tavarekere,Madiwala",BTM
Venessa,Casual Dining,2.8,40,1200.0,0,0,Asian,"Byresandra,Tavarekere,Madiwala",BTM
Venessa,Casual Dining,2.8,40,1200.0,0,0,Continental,"Byresandra,Tavarekere,Madiwala",BTM
Venice Kerala Restaurant,Quick Bites,3.7,32,200.0,0,0,Kerala,Brookefield,Brookefield
Venkataramana Nellore Mess,Mess,3.9,97,300.0,1,0,Andhra,Sarjapur Road,HSR
Venkataramana Nellore Mess,Mess,3.9,97,300.0,1,0,South Indian,Sarjapur Road,HSR
Venkateshwara Foods,"Takeaway, Delivery",3.0,13,400.0,1,0,Street Food,Brigade Road,Residency Road
Venkateshwara Foods,"Takeaway, Delivery",3.0,13,400.0,1,0,South Indian,Brigade Road,Residency Road
Venkateshwara Sweets and Restaurant,"Casual Dining, Sweet Shop",3.6,40,400.0,0,0,South Indian,Bannerghatta Road,JP Nagar
Venkateshwara Sweets and Restaurant,"Casual Dining, Sweet Shop",3.6,40,400.0,0,0,Mithai,Bannerghatta Road,JP Nagar
Venkateshwara Sweets and Restaurant,"Casual Dining, Sweet Shop",3.6,40,400.0,0,0,Chinese,Bannerghatta Road,JP Nagar
Venkateshwara Sweets and Restaurant,"Casual Dining, Sweet Shop",3.6,40,400.0,0,0,North Indian,Bannerghatta Road,JP Nagar
Venky's Xprs,"Quick Bites, Meat Shop",3.7,35,350.0,0,0,Fast Food,Kalyan Nagar,Kalyan Nagar
Venky's Xprs,"Quick Bites, Meat Shop",3.7,35,350.0,0,0,Raw Meats,Kalyan Nagar,Kalyan Nagar
Vennela Andhra Meals,Quick Bites,3.0,23,400.0,1,0,Andhra,Banashankari,Jayanagar
Venus Bake Point,Bakery,3.5,6,500.0,1,0,Bakery,Indiranagar,Old Airport Road
Venus Biryani,Quick Bites,3.0,143,200.0,1,0,Biryani,Indiranagar,Domlur
Venus Biryani,Quick Bites,3.0,143,200.0,1,0,Chinese,Indiranagar,Domlur
Vera Italiano,Casual Dining,4.1,198,600.0,1,0,Italian,Kalyan Nagar,Kalyan Nagar
Veruthe Oru Thattukada,Casual Dining,3.8,149,400.0,0,0,Kerala,Bannerghatta Road,Bannerghatta Road
Veruthe Oru Thattukada,Casual Dining,3.8,149,400.0,0,0,South Indian,Bannerghatta Road,Bannerghatta Road
Vi Ra's Bar and Restaurant,Bar,3.3,62,800.0,0,0,South Indian,Banashankari,Banashankari
Vi Ra's Bar and Restaurant,Bar,3.3,62,800.0,0,0,North Indian,Banashankari,Banashankari
Vi Ra's Bar and Restaurant,Bar,3.3,62,800.0,0,0,Chinese,Banashankari,Banashankari
